"वस्तु","एकाइ","न्यूनतम","अधिकतम","औसत"
"ब्रोकाउली","के.जी.","रू. १४०","रू. १५०","१४५.००"
"भटमासकोशा","के.जी.","रू. ६०","रू. ७०","६५.००"
"भटमासकोशा","के.जी.","रू. ४०","रू. ५०","४५.००"
"भन्टा डल्लो","के.जी.","रू. ४५","रू. ५०","४७.५०"
"भन्टा डल्लो","के.जी.","रू. ३०","रू. ३५","३२.५०"
"भन्टा लाम्चो","के.जी.","रू. ४०","रू. ४५","४२.५०"
"भन्टा लाम्चो","के.जी.","रू. २५","रू. ३०","२७.५०"
"भिण्डी","के.जी.","रू. ६५","रू. ७०","६७.५०"
"भिण्डी","के.जी.","रू. ४०","रू. ४४","४२.००"
"भुई कटहर","प्रति गोटा","रू. ९०","रू. ९५","९२.५०"
"भुई कटहर","प्रति गोटा","रू. ८०","रू. ९०","८५.००"
"भेडे खु्र्सानी","के.जी.","रू. १२५","रू. १५०","१३७.५०"
"भेडे खु्र्सानी","के.जी.","रू. ११०","रू. १२०","११५.००"
"माछा ताजा","के.जी.","रू. २३०","रू. २५०","२४०.००"
"माछा ताजा","के.जी.","रू. २२०","रू. २३०","२२५.००"
"मूला सेतो(लोकल)","के.जी.","रू. ३०","रू. ३५","३२.५०"
"मूला सेतो(लोकल)","के.जी.","रू. १८","रू. २२","२०.००"
"मेवा(नेपाली)","के.जी.","रू. ७०","रू. ८०","७५.००"
"मेवा(नेपाली)","के.जी.","रू. ५५","रू. ६०","५७.५०"
"मौसम","के.जी.","रू. ९०","रू. ९५","९२.५०"
"मौसम","के.जी.","रू. ८०","रू. ९०","८५.००"
"रातो बन्दा","के.जी.","रू. ९०","रू. १००","९५.००"
"रायो साग","के.जी.","रू. ५५","रू. ६०","५७.५०"
"रायो साग","के.जी.","रू. ५५","रू. ६०","५७.५०"
"लप्सी","के.जी.","रू. ३०","रू. ४०","३५.००"
"लप्सी","के.जी.","रू. २२","रू. २५","२३.५०"
"लसुन सुकेको चाइनिज","के.जी.","रू. १२०","रू. १३०","१२५.००"
"लसुन सुकेको चाइनिज","के.जी.","रू. १०५","रू. ११०","१०७.५०"
"लसुन सुकेको नेपाली","के.जी.","रू. १३०","रू. १४०","१३५.००"
"लसुन सुकेको नेपाली","के.जी.","रू. १००","रू. ११०","१०५.००"
"लसुन हरियो","के.जी.","रू. ९०","रू. १००","९५.००"
"लसुन हरियो","के.जी.","रू. ८०","रू. ९०","८५.००"
"लौका","के.जी.","रू. ४५","रू. ५०","४७.५०"
"लौका","के.जी.","रू. २५","रू. ३०","२७.५०"
"सेलरी","के.जी.","रू. ११०","रू. १२०","११५.००"
"स्कूस","के.जी.","रू. २०","रू. २२","२१.००"
"स्कूस","के.जी.","रू. ८","रू. १०","९.००"
"स्याउ(झोले)","के.जी.","रू. १२५","रू. १५०","१३७.५०"
"स्याउ(झोले)","के.जी.","रू. १००","रू. १२०","११०.००"
"हरियो धनिया","के.जी.","रू. २२५","रू. २६०","२४२.५०"
"हरियो धनिया","के.जी.","रू. ९०","रू. १००","९५.००"
